id,institution,issuer_key,product_name,top25_issuer,availability,state,requires_membership,secured,credit_tiers,min_tier,variable_rate,apr_no_score,apr_poor,apr_good,apr_great,apr_min,apr_median,apr_max,intro_apr,intro_months,bt_apr,bt_months,bt_fee_pct,bt_fee_min,cash_apr,cash_fee_pct,cash_fee_min,grace_days,annual_fee,monthly_fee,foreign_fee_pct,late_fee,rewards,other_rewards,features,website,report_date
1st-community-federal-credit-union-platinum-visa-card-with-and-without-rewards,1st Community Federal Credit Union,,Platinum Visa Card with and without Rewards.,false,National,,true,false,"{""1"",""2"",""3""}",1,false,,,,,,,,,,0.1495,12.0,,,0.0,,,25.0,0.0,0.0,0.01,25.0,"{""Cashback rewards""}",,"{""Contactless Payments"",""Chip card"",""Mobile wallet provisioning (for example, Apple Pay)""}",https://1cfcu.org/credit-cards/,2025-12-31
360-federal-credit-union-secure-classic,360 Federal Credit Union,,Secure Classic,false,National,,true,true,"{""0""}",0,false,,,,,,,,0.0399,3.0,,,,,0.1725,,5.0,25.0,0.0,0.0,0.01,,{},,"{""Chip card"",""Mobile wallet provisioning (for example, Apple Pay)""}",https: www.360fcu.org,2025-12-31
360-federal-credit-union-business-rewards,360 Federal Credit Union,,Business Rewards,false,National,,true,false,"{""3""}",3,false,,,,,,,,,,,,,,0.1625,,10.0,25.0,0.0,0.0,0.01,35.0,"{""Cashback rewards"",""Travel-related rewards"",""Other rewards""}",Merchandise and gift cards,"{""Chip card"",""Mobile wallet provisioning (for example, Apple Pay)""}",https: 360fcu.org,2025-12-31
360-federal-credit-union-platinum-reward,360 Federal Credit Union,,Platinum Reward,false,National,,true,false,"{""3""}",3,false,,,,,,,,0.0399,3.0,0.0399,3.0,,,0.165,,5.0,25.0,0.0,0.0,0.01,,"{""Cashback rewards"",""Travel-related rewards"",""Other rewards""}",Gift Cards and Purchase Merchandise,"{""Chip card"",""Mobile wallet provisioning (for example, Apple Pay)""}",https: 360fcu.org,2025-12-31
360-federal-credit-union-traditional-classic,360 Federal Credit Union,,Traditional Classic,false,National,,true,false,"{""2""}",2,false,,,,,0.0399,0.0399,0.0399,0.0399,3.0,0.0399,3.0,,,0.0399,,5.0,25.0,0.0,0.0,0.01,,{},,"{""Chip card"",""Mobile wallet provisioning (for example, Apple Pay)""}",http:www.360fcu.org,2025-12-31
achieve-financial-credit-union-platinum-rewards-visa,Achieve Financial Credit Union,,Platinum Rewards Visa,false,One State/Territory,CT,true,false,"{""1"",""2"",""3""}",1,false,,0.179,0.129,0.104,0.099,0.139,0.179,,,,,,,,,,25.0,0.0,0.0,0.01,25.0,"{""Other rewards""}","By Registering their credit cards for the ""UChoose Rewards"", they start earning 1 point for all purchases. Rewards can be redeemed for in-store and Online purchases at participating retailers.","{""Contactless Payments"",""Chip card"",""Mobile wallet provisioning (for example, Apple Pay)""}",www://achievefinancialcu.com,2025-12-31
advanced-financial-federal-credit-union-advanced-financial-fcu-everyday-rewards-,Advanced Financial Federal Credit Union,,Advanced Financial FCU Everyday Rewards Visa,false,National,,true,false,"{""2"",""3""}",2,true,,0.1624,0.1574,0.1474,0.1424,0.1524,0.1624,,,,,,,,0.01,,23.0,0.0,0.0,0.008,35.0,"{""Travel-related rewards"",""Other rewards""}",Points can be redeemed to purchase gift cards.  Points can be redeemed when making purchases on Amazon or when using PayPal.  Points can be redeemed for fuel purchases at BP Amoco,"{""Contactless Payments"",""Chip card"",""Mobile wallet provisioning (for example, Apple Pay)""}",https://www.advfinfcu.com,2025-12-31
alabama-state-employees-credit-union-credit-card-agreement-11-2024,Alabama State Employees Credit Union,,Credit Card Agreement 11-2024,false,National,,true,false,"{""1"",""2"",""3""}",1,false,,,,,,,,,,,,,,0.1299,,,21.0,0.0,0.0,0.01,25.0,"{""Cashback rewards"",""Travel-related rewards"",""Other rewards""}","We offer debit and CC rewards. There's not a list, the rewards site can be accessed through online banking for members that have a debit rewards account or a CC.","{""Contactless Payments"",""Chip card"",""Mobile wallet provisioning (for example, Apple Pay)""}",,2025-12-31
alcoa-community-federal-credit-union-platinum-visa,Alcoa Community Federal Credit Union,,Platinum Visa,false,One State/Territory,AR,false,false,"{""1"",""2"",""3""}",1,false,,0.1599,0.0999,0.0799,0.0799,0.0999,0.1599,,,,,,,,,,25.0,0.0,0.0,0.0,25.0,"{""Travel-related rewards"",""Other rewards""}",Merchandise rewards,"{""Chip card"",""Fee-free foreign transactions"",""Mobile wallet provisioning (for example, Apple Pay)""}",https://www.alcoacommunityfcu.org,2025-12-31
align-credit-union-align-visa,Align Credit Union,,Align Visa,false,Regional,,true,false,"{""0"",""1"",""2"",""3""}",0,true,0.1675,0.1675,0.1375,0.1175,0.1175,0.1375,0.1675,,12.0,,12.0,0.04,,,0.02,5.0,,0.0,0.0,0.02,,{},,"{""Contactless Payments"",""Mobile wallet provisioning (for example, Apple Pay)""}",https://www.aligncu.com/personal/loans-credit-cards/credit-cards,2025-12-31
